Event,Favorite,Underdog,Winner,odds_delta,delta_height,delta_reach,delta_SLPM,delta_Str Acc,delta_SApm,delta_Str. Def,delta_TD Avg,delta_TD Acc,delta_TD Def,delta_Sub Avg,delta_age
UFC 169 - Barao vs. Faber 2,Jose Aldo,Ricardo Lamas,Favorite,-5.86,-1,-1,0.5,-0.01,0.85,0.03,-1.33,0.2,0.45,-0.8,-5
UFC 169 - Barao vs. Faber 2,Alistair Overeem,Frank Mir,Favorite,-3.49,1,1,1.48,0.17,-1.4,0.18,-0.61,0.15,0.18,-1.2,-1
UFC 169 - Barao vs. Faber 2,Ali Bagautinov,John Lineker,Favorite,-0.75,1,-2,-2.52,0.01,-1.18,-0.05,1.94,-0.22,-0.03,-0.3,5
UFC 169 - Barao vs. Faber 2,Jamie Varner,Abel Trujillo,Underdog,-0.23,0,1,0.27,-0.07,0.23,-0.02,1.31,0.08,0.26,0.4,-1
UFC 169 - Barao vs. Faber 2,John Makdessi,Alan Patrick,Underdog,-0.6,-3,-6,3.69,0.08,1.2,0.25,-3.01,-0.33,0.43,-0.3,-1
UFC 169 - Barao vs. Faber 2,Chris Cariaso,Danny Martinez,Favorite,-1.1,-3,-3,0.62,0.14,-1.54,-0.03,-1.89,-0.06,0.2,0.8,4
UFC 169 - Barao vs. Faber 2,Tom Watson,Nick Catone,Underdog,-0.77,1,1,1.9,0,2.09,-0.13,-3.56,-0.37,-0.4,-0.5,-1
UFC 169 - Barao vs. Faber 2,Al Iaquinta,Kevin Lee,Favorite,-1.43,1,-7,0.17,-0.02,0.93,0.1,-2.56,-0.25,-0.02,-0.61,6
UFC 169 - Barao vs. Faber 2,Clint Hester,Andy Enz,Favorite,-1.33,-1,-1,-0.15,0.18,-1.89,-0.01,1.02,0.35,0.02,0,5
UFC 169 - Barao vs. Faber 2,Rashid Magomedov,Tony Martin,Favorite,-1.49,-3,-3,1.72,0.12,0.46,-0.04,-0.04,0.29,0.2,-0.8,5
UFC 169 - Barao vs. Faber 2,Gasan Umalatov,Neil Magny,Underdog,-0.96,-4,-9,-1.25,-0.08,1.67,0.06,-1.42,-0.23,0.36,-0.3,5
UFC Fight Night 36 - Machida vs. Mousasi,Lyoto Machida,Gegard Mousasi,Favorite,-1.5,-1,-2,-1.17,0.03,0.36,-0.08,-0.39,0.05,0.16,-0.7,7
UFC Fight Night 36 - Machida vs. Mousasi,Ronaldo Souza,Francis Carmont,Favorite,-4.29,-5,-8,1.5,-0.03,3.66,-0.14,-1.29,-0.2,-0.13,-0.6,-14
UFC Fight Night 36 - Machida vs. Mousasi,Erick Silva,Takenori Sato,Favorite,-8.92,2,3,2.04,0.14,-8.74,0.4,0.85,0.35,0.56,1.4,1
UFC Fight Night 36 - Machida vs. Mousasi,Viscardi Andrade,Nico Musoke,Underdog,-0.57,-1,0,-0.31,0.07,-1.03,0.06,0.77,0.31,-0.16,0.09,2
UFC Fight Night 36 - Machida vs. Mousasi,Charles Oliveira,Andy Ogle,Favorite,-6.24,2,5,1.14,0.09,0.97,0.01,0.73,0.14,-0.03,2.8,-1
UFC Fight Night 36 - Machida vs. Mousasi,Joe Proctor,Cristiano Marcello,Favorite,-1.87,1,0,0.83,0.02,0.32,0.01,-0.44,-0.11,0.49,0.9,-8
UFC Fight Night 36 - Machida vs. Mousasi,Ivan Jorge,Rodrigo Damm,Underdog,-0.87,2,2,-0.09,0.13,-2.7,0.02,1.12,0,-0.06,0.3,-1
UFC Fight Night 36 - Machida vs. Mousasi,Francisco Trinaldo,Jesse Ronson,Favorite,-0.9,-1,0,-0.42,-0.02,-0.73,0.03,0.52,0.13,0.03,0,7
UFC Fight Night 36 - Machida vs. Mousasi,Yuri Alcantara,Wilson Reis,Favorite,-1.72,5,6,0.89,0.16,-0.25,-0.07,-3.72,0.2,0.13,0.2,4
UFC Fight Night 36 - Machida vs. Mousasi,Felipe Arantes,Maximo Blanco,Favorite,-0.2,0,2,-1.75,0.01,-0.53,-0.03,-0.92,0.1,-0.23,0.4,-4
UFC Fight Night 36 - Machida vs. Mousasi,Albert Tumenov,Ildemar Alcantara,Underdog,-1.57,-3,-5,1.82,0.03,0.71,0.07,-1.8,-0.49,-0.07,-0.9,-9
UFC Fight Night 36 - Machida vs. Mousasi,Zubaira Tukhugov,Douglas Silva de Andrade,Favorite,-0.09,1,0,-0.5,0.01,-0.93,0.05,1.52,-0.08,0.3,-0.2,-5
UFC Fight Night 38 - Shogun vs. Henderson 2,Mauricio Rua,Dan Henderson,Underdog,-0.9,2,2,1.12,0.03,0.08,0.03,0.48,-0.05,-0.08,0.4,-11
UFC Fight Night 38 - Shogun vs. Henderson 2,Cezar Ferreira,C.B. Dollaway,Underdog,-3.28,-1,2,-0.75,-0.05,-0.15,-0.02,-0.86,-0.02,0.21,-0.7,-1
UFC Fight Night 38 - Shogun vs. Henderson 2,Gian Villante,Fabio Maldonado,Underdog,-2.28,2,1,-0.92,-0.14,1.16,0.02,0.01,-0.34,0.21,-0.6,-6
UFC Fight Night 38 - Shogun vs. Henderson 2,Mairbek Taisumov,Michel Prazeres,Underdog,-2.53,3,6,0.6,-0.08,0.52,0.07,-2.6,0.27,0.41,-0.6,-7
UFC Fight Night 38 - Shogun vs. Henderson 2,Rony Jason,Steven Siler,Favorite,-1.14,-4,3,-1.17,0.03,0.18,-0.02,0.12,0.09,-0.2,-0.8,3
UFC Fight Night 38 - Shogun vs. Henderson 2,Ronny Markes,Thiago Santos,Underdog,-6.47,-1,-1,-1.56,0.05,-0.14,-0.09,2.25,0.07,0.35,0.4,-4
UFC Fight Night 38 - Shogun vs. Henderson 2,Scott Jorgensen,Jussier Formiga,Underdog,-1.21,0,-1,1.95,0.01,1.07,0.01,0.78,0.1,-0.29,0.09,2
UFC Fight Night 38 - Shogun vs. Henderson 2,Thiago de Oliveira Perpetuo,Kenny Robertson,Underdog,-0.5,-5,-7,1.16,0.06,0.75,0.14,-0.64,0.1,0.08,-0.31,-12
UFC Fight Night 38 - Shogun vs. Henderson 2,Francimar Barroso,Hans Stringer,Underdog,-0.5,-2,1,-0.4,-0.09,0.23,0.18,-0.18,-0.12,0.2,0,8
UFC Fight Night 38 - Shogun vs. Henderson 2,Noad Lahat,Godofredo Pepey,Underdog,-2.49,2,-4,0.47,0.08,-1.76,0.16,2,0.19,-0.19,0.89,3
UFC - The Ultimate Fighter Nations Finale,Michael Bisping,Tim Kennedy,Underdog,-1.35,2,1,1.55,-0.09,0.86,0.03,-1.53,0.08,-0.07,-0.4,1
UFC - The Ultimate Fighter Nations Finale,Kyle Noke,Patrick Cote,Underdog,-1.33,2,1,0.41,0.02,-1.13,0.16,0.85,0.34,0.23,0.6,0
UFC - The Ultimate Fighter Nations Finale,Elias Theodorou,Sheldon Westcott,Favorite,-1.24,0,4,1.93,0.01,-1.34,0.16,-1.96,-0.09,0.44,0,-4
UFC - The Ultimate Fighter Nations Finale,Olivier Aubin-Mercier,Chad Laprise,Underdog,-0.78,-1,-1,-2.31,0.09,-0.62,-0.1,1.3,-0.22,-0.09,0.5,-2
UFC - The Ultimate Fighter Nations Finale,Dustin Poirier,Akira Corassani,Favorite,-8.4,1,4,2.2,0.06,-0.55,0.03,0.63,0.07,-0.23,1.4,-6
UFC - The Ultimate Fighter Nations Finale,Sam Stout,K.J. Noons,Underdog,-0.05,-1,0,0.48,-0.07,0.3,-0.09,0.55,0.18,0.08,0.1,-1
UFC - The Ultimate Fighter Nations Finale,Sarah Kaufman,Leslie Smith,Favorite,-2.05,-4,0,-0.91,0.06,-4.41,0.1,0.38,0.56,0.19,0,-3
UFC - The Ultimate Fighter Nations Finale,Ryan Jimmo,Sean O'Connell,Favorite,-5.98,0,-1,-2.34,0.18,-4,0.01,0.45,0.28,0.57,-0.5,2
UFC - The Ultimate Fighter Nations Finale,George Roop,Dustin Kimura,Favorite,-0.8,6,1,2.1,0.13,-1.35,0.08,0.12,0.19,0.08,-2.1,7
UFC - The Ultimate Fighter Nations Finale,Mark Bocek,Mike de la Torre,Favorite,-5.54,-3,4,-0.88,0.03,-2.44,0.08,3.29,0.2,-0.52,1.3,5
UFC - The Ultimate Fighter Nations Finale,Nordine Taleb,Vik Grujic,Favorite,-1.75,2,1,1.42,0.03,-0.77,0.25,0.76,0.43,0.47,-0.4,-5
UFC - The Ultimate Fighter Nations Finale,Richard Walsh,Chris Indich,Favorite,-1.73,2,0,2.52,0.16,-1.6,0.14,0.8,-0.1,0.16,-1.3,-2
UFC - The Ultimate Fighter Nations Finale,Mitch Gagnon,Tim Gorman,Favorite,-2.58,0,-4,0.02,0.15,-3.37,0.14,0.15,0.16,0.32,1.9,-2
UFC on Fox 11 - Werdum vs. Browne,Travis Browne,Fabricio Werdum,Underdog,-1.7,2,2,-0.66,-0.12,1.66,-0.14,-0.54,0.37,0.44,-1,-5
UFC on Fox 11 - Werdum vs. Browne,Miesha Tate,Liz Carmouche,Favorite,-1.25,0,-1,-0.16,-0.1,0.47,-0.1,-0.55,-0.2,-0.1,1,-3
UFC on Fox 11 - Werdum vs. Browne,Edson Barboza,Donald Cerrone,Underdog,-0.91,-2,2,-0.3,-0.03,0.16,0.03,-0.71,0.17,-0.02,-1.1,-3
UFC on Fox 11 - Werdum vs. Browne,Brad Tavares,Yoel Romero,Underdog,-0.64,1,1,-0.07,-0.06,0.1,-0.05,-0.79,-0.04,0.03,0,-11
UFC on Fox 11 - Werdum vs. Browne,Khabib Nurmagomedov,Rafael dos Anjos,Favorite,-2.39,2,0,0.61,0.01,-1.46,0.05,3.37,0.13,0.28,0.2,-4
UFC on Fox 11 - Werdum vs. Browne,Thiago Alves,Seth Baczynski,Favorite,-3.99,-6,-5,0.64,0.09,0.27,0.1,-0.19,0.43,0.15,-0.5,-2
UFC on Fox 11 - Werdum vs. Browne,Jorge Masvidal,Pat Healy,Favorite,-2.1,-1,2,1.48,0.1,0.48,0.14,-1.71,0.21,0.16,-0.8,-1
UFC on Fox 11 - Werdum vs. Browne,Estevan Payan,Alex White,Underdog,-0.43,-2,1,0.49,0,0.51,-0.04,-0.57,0.72,-0.11,-0.1,7
UFC on Fox 11 - Werdum vs. Browne,Caio Magalhaes,Luke Zachrich,Favorite,-2.51,-1,-1,-2.29,0.08,-1.69,-0.06,0.31,-0.19,-0.23,1.6,-6
UFC on Fox 11 - Werdum vs. Browne,Jordan Mein,Hernani Perpetuo,Favorite,-3.51,0,-1,0.62,0.15,-1.83,0.13,1.56,0.57,0.29,-0.3,-5
UFC on Fox 11 - Werdum vs. Browne,Dustin Ortiz,Ray Borg,Favorite,-0.83,1,2,1.42,-0.09,0.24,0.08,-0.89,-0.15,0.06,-0.9,5
UFC on Fox 11 - Werdum vs. Browne,Mirsad Bektic,Chas Skelly,Favorite,-0.56,-3,-2,0.42,0,-1.41,0.07,2.24,0.18,0.53,-1.9,-6
UFC on Fox 11 - Werdum vs. Browne,Derrick Lewis,Jack May,Favorite,-2.26,-5,1,0.96,0.12,-0.81,0.07,-0.35,-0.08,0.32,0,-4
UFC 172 - Jones vs. Teixeira,Jon Jones,Glover Teixeira,Favorite,-3.81,2,8,0.56,0.07,-2.21,0.13,-0.18,0.12,0.35,-0.4,-8
UFC 172 - Jones vs. Teixeira,Phil Davis,Anthony Johnson,Underdog,-1.73,0,1,-0.4,-0.13,-0.5,0.12,0.56,-0.19,-0.06,0,-1
UFC 172 - Jones vs. Teixeira,Luke Rockhold,Tim Boetsch,Favorite,-7.86,3,3,1.16,-0.02,-0.22,-0.04,-0.75,-0.06,0.06,0.19,-4
UFC 172 - Jones vs. Teixeira,Jim Miller,Yancy Medeiros,Favorite,-1.15,-2,-4,-1.37,0.04,-2.17,0.09,1.2,-0.06,-0.26,1,4
UFC 172 - Jones vs. Teixeira,Andre Fili,Max Holloway,Underdog,-0.48,0,5,-3.32,-0.11,-0.61,-0.08,1.91,-0.07,-0.16,0,1
UFC 172 - Jones vs. Teixeira,Joseph Benavidez,Tim Elliott,Favorite,-3.76,-3,-1,0.12,-0.1,0,0.04,-2.33,-0.17,0.03,-0.4,2
UFC 172 - Jones vs. Teixeira,Takanori Gomi,Isaac Vallie-Flagg,Favorite,-0.86,-1,0,-1.75,-0.06,-2.08,0.14,1.03,0.53,0.05,0.8,-1
UFC 172 - Jones vs. Teixeira,Jessamyn Duke,Bethe Correia,Underdog,-0.42,6,9,0.46,0.1,-0.5,0,0.88,0.18,-0.35,1.9,-3
UFC 172 - Jones vs. Teixeira,Danny Castillo,Charlie Brenneman,Favorite,-2.91,-1,1,1.04,-0.15,0.4,0.15,-1.29,-0.04,-0.09,0.2,1
UFC 172 - Jones vs. Teixeira,Chris Beal,Patrick Williams,Favorite,-0.3,-1,-4,-0.67,-0.17,-0.94,0.08,-1.11,0.17,-0.22,-0.3,-4
UFC Fight Night 40 - Brown vs. Silva,Erick Silva,Matt Brown,Underdog,-1.54,0,-1,-1.26,-0.08,1.25,-0.07,-0.83,-0.12,-0.07,0.09,-4
UFC Fight Night 40 - Brown vs. Silva,Lorenz Larkin,Costas Philippou,Underdog,-1.61,0,-1,1.34,0.11,0.01,0.08,-0.13,0,0.14,-0.2,-7
UFC Fight Night 40 - Brown vs. Silva,Erik Koch,Daron Cruickshank,Underdog,-2.71,2,-1,-0.55,0.03,-0.17,-0.1,-1.02,0.01,0.21,0.8,-3
UFC Fight Night 40 - Brown vs. Silva,Neil Magny,Tim Means,Favorite,-2.49,1,5,-1.61,-0.03,-1.23,-0.08,1.01,0,-0.11,0.09,-4
UFC Fight Night 40 - Brown vs. Silva,Soa Palelei,Ruan Potts,Favorite,-2.62,2,6,1.62,0.19,-3.24,0.26,1.45,0.3,0.33,-2.3,0
UFC Fight Night 40 - Brown vs. Silva,Louis Smolka,Chris Cariaso,Underdog,-0.67,6,4,1.31,0.03,1.88,-0.08,0.57,-0.05,-0.25,1,-10
UFC Fight Night 40 - Brown vs. Silva,Rafael Natal,Ed Herman,Underdog,-1.06,-1,0,-0.21,-0.02,-1.23,0.14,0.58,-0.13,0.18,-0.5,-2
UFC Fight Night 40 - Brown vs. Silva,Kyoji Horiguchi,Darrell Montague,Favorite,-1.38,-1,-1,1.68,0.2,-2.93,0.09,1.28,0.19,0.22,-1.4,-3
UFC Fight Night 40 - Brown vs. Silva,Yan Cabral,Zak Cummings,Underdog,-4.56,-1,-2,-0.94,0.12,-0.94,0.06,2.27,0.06,-0.3,0.6,2
UFC Fight Night 40 - Brown vs. Silva,Eddie Wineland,Johnny Eduardo,Underdog,-7.22,0,-2,0.44,-0.11,0.53,0.05,0.12,0.13,0.28,-0.31,-6
UFC Fight Night 40 - Brown vs. Silva,Nik Lentz,Manny Gamburyan,Favorite,-4.39,3,1,1.31,0.06,0.41,-0.06,0.04,-0.03,-0.26,0.5,-4
UFC Fight Night 40 - Brown vs. Silva,Justin Salas,Ben Wall,Favorite,-2.24,-2,-3,1.95,0.14,-5.57,0.39,2.43,0.2,-1,0,7
UFC Fight Night 40 - Brown vs. Silva,Albert Tumenov,Anthony Lapsley,Favorite,-2.05,2,0,3.22,0.07,2.76,-0.09,0.2,0.2,0.55,0,-12
UFC Fight Night 42 - Henderson vs. Khabilov,Benson Henderson,Rustam Khabilov,Favorite,-1.71,1,-3,0.95,0.1,-0.38,-0.03,-1.56,0.04,0.02,0.7,3
UFC Fight Night 42 - Henderson vs. Khabilov,Ross Pearson,Diego Sanchez,Underdog,-0.63,-2,-3,0.99,0.03,1.06,0.05,-0.77,0.1,0.28,-0.8,-3
UFC Fight Night 42 - Henderson vs. Khabilov,John Dodson,John Moraga,Favorite,-4.6,-3,0,0.63,-0.03,1.03,0.04,0.08,0.05,0.37,-1.11,-1
UFC Fight Night 42 - Henderson vs. Khabilov,Rafael dos Anjos,Jason High,Favorite,-2.17,0,-3,2.2,0.04,1.65,0.12,-0.41,-0.29,0.18,-2.2,-3
UFC Fight Night 42 - Henderson vs. Khabilov,Piotr Hallmann,Yves Edwards,Favorite,-0.85,0,-2,1.06,0.03,0.83,-0.09,1.78,-0.1,0.01,-0.3,-11
UFC Fight Night 42 - Henderson vs. Khabilov,Erik Perez,Bryan Caraway,Underdog,-0.32,0,0,0.63,0.06,-1.52,0.12,0.59,0.3,-0.12,-0.61,-5
UFC Fight Night 42 - Henderson vs. Khabilov,Sergio Pettis,Yaotzin Meza,Favorite,-5.22,-3,-2,2.45,-0.04,1.29,0.01,-0.22,0.2,0.49,-1,-13
UFC Fight Night 42 - Henderson vs. Khabilov,Bobby Voelker,Lance Benoist,Underdog,-0.05,1,2,0.32,-0.17,3.13,-0.15,-0.46,0.17,0.05,0,10
UFC Fight Night 42 - Henderson vs. Khabilov,Scott Jorgensen,Danny Martinez,Favorite,-1.83,-1,-1,0.64,0.12,-0.36,0.02,-0.4,0,0.23,0.7,3
UFC Fight Night 42 - Henderson vs. Khabilov,Jon Tuck,Jake Lindsey,Favorite,-0.77,0,0,-0.44,-0.12,-0.27,0.13,-0.24,0,0,1,2
UFC Fight Night 42 - Henderson vs. Khabilov,Patrick Cummins,Roger Narvaez,Favorite,-2.53,-1,-3,2.13,0.13,0.03,-0.09,4.49,0.41,-0.22,-0.8,3
UFC 174 - Johnson vs. Bagautinov,Demetrious Johnson,Ali Bagautinov,Favorite,-5.42,-1,1,0.58,0.12,-1.43,0.15,0.84,0.2,0,0.2,-1
UFC 174 - Johnson vs. Bagautinov,Rory MacDonald,Tyron Woodley,Favorite,-0.1,3,2,1.39,-0.06,0.04,0.07,0.71,0.06,0.01,0,-8
UFC 174 - Johnson vs. Bagautinov,Ryan Bader,Rafael Cavalcante,Favorite,-0.92,1,0,0.1,-0.11,-2.24,0.21,2.77,0.03,0.17,0.3,-4
UFC 174 - Johnson vs. Bagautinov,Brendan Schaub,Andrei Arlovski,Underdog,-0.69,1,1,-0.86,-0.09,-0.98,0,1.94,0.1,-0.05,0.2,-4
UFC 174 - Johnson vs. Bagautinov,Ovince St Preux,Ryan Jimmo,Favorite,-0.98,2,7,-0.1,-0.2,0.54,0,0.65,0.07,-0.2,0.5,-1
UFC 174 - Johnson vs. Bagautinov,Daniel Sarafian,Kiichi Kunimoto,Underdog,-3.93,-1,2,0.35,0.02,-0.82,0.17,-1.23,-0.13,0.25,0.4,-2
UFC 174 - Johnson vs. Bagautinov,Elizabeth Phillips,Valerie Letourneau,Underdog,-0.42,-1,-3,-1.91,-0.04,-2.34,0,-0.03,-0.2,-0.13,-0.1,-4
UFC 174 - Johnson vs. Bagautinov,Mike Easton,Yves Jabouin,Underdog,-1.53,-1,2,0.44,-0.04,1.35,-0.02,-1.19,-0.38,-0.16,-0.1,-4
UFC 174 - Johnson vs. Bagautinov,Kajan Johnson,Tae Hyun Bang,Underdog,-1.14,2,4,-0.25,0.03,-0.48,-0.03,1.05,0.03,0.05,-0.3,-1
UFC 174 - Johnson vs. Bagautinov,Michinori Tanaka,Roland Delorme,Favorite,-0.73,-4,-4,-0.31,-0.08,-2.33,0.09,-0.11,0.03,0.01,-1.4,-7
UFC 174 - Johnson vs. Bagautinov,Josh Shockley,Jason Saggo,Underdog,-0.05,2,4,-1.11,-0.06,-1.19,0.07,-2.33,-0.4,0.38,0.8,-4
UFC Fight Night 44 - Swanson vs. Stephens,Cub Swanson,Jeremy Stephens,Favorite,-1.6,-1,-1,1.53,0.09,0.79,0.01,-0.07,0.14,-0.05,0,3
UFC Fight Night 44 - Swanson vs. Stephens,Kelvin Gastelum,Nico Musoke,Favorite,-2.54,-3,-4,-0.02,0.06,-0.57,0.01,-0.2,0.1,-0.23,-0.1,-6
UFC Fight Night 44 - Swanson vs. Stephens,Cezar Ferreira,Andrew Craig,Favorite,-2.52,0,2,-0.5,0.01,-0.57,0.03,2.16,0.16,0.12,0.5,1
UFC Fight Night 44 - Swanson vs. Stephens,Ricardo Lamas,Hacran Dias,Favorite,-2.08,0,2,1.04,0.06,-0.44,0.01,-0.66,-0.06,-0.3,0.4,3
UFC Fight Night 44 - Swanson vs. Stephens,Antonio Braga Neto,Clint Hester,Underdog,-0.78,1,0,-2,-0.09,0.48,-0.12,2.04,0.02,-0.6,0.5,-1
UFC Fight Night 44 - Swanson vs. Stephens,Joe Ellenberger,James Moontasri,Favorite,-1.23,-1,1,-0.77,-0.02,-0.41,0.07,3.17,0.4,-0.79,0.9,3
UFC Fight Night 44 - Swanson vs. Stephens,Carlos Diego Ferreira,Colton Smith,Favorite,-1.21,-3,3,3.4,-0.02,1.13,0.05,-3.13,-0.06,0.35,-0.8,3
UFC Fight Night 44 - Swanson vs. Stephens,Johnny Bedford,Cody Gibson,Underdog,-1.18,0,0,0.53,0.07,-2.33,0.06,0.55,0.34,-0.07,-0.2,5
UFC Fight Night 44 - Swanson vs. Stephens,Andy Enz,Marcelo Guimaraes,Underdog,-1.42,3,5,-1.17,-0.29,0.91,-0.06,-1.99,-0.13,0.57,0,-8
UFC Fight Night 44 - Swanson vs. Stephens,Ray Borg,Shane Howell,Favorite,-3.86,-4,-7,0.25,0.2,-0.62,0.06,3.89,0.5,0.26,1,-10
UFC Fight Night 44 - Swanson vs. Stephens,Aleksei Oleinik,Anthony Hamilton,Favorite,-0.57,-3,4,-0.63,-0.18,0.77,-0.02,-0.8,0.04,-0.41,1.9,2
UFC Fight Night 46 - McGregor vs. Brandao,Conor McGregor,Diego Brandao,Favorite,-5.42,2,10,2.38,0.02,1.28,-0.08,-2.54,-0.13,-0.15,-0.5,-1
UFC Fight Night 46 - McGregor vs. Brandao,Gunnar Nelson,Zak Cummings,Favorite,-6.44,-1,-3,-1.12,0.26,0.08,-0.07,1.27,0.3,0,0.4,-4
UFC Fight Night 46 - McGregor vs. Brandao,Ian McCall,Brad Pickett,Favorite,-0.83,-1,-4,0.56,0.08,-1.38,0.12,-0.4,-0.15,0.3,-0.4,-5
UFC Fight Night 46 - McGregor vs. Brandao,Norman Parke,Naoyuki Kotani,Favorite,-3.9,3,4,2.04,0.03,-0.02,0.14,1.14,0.1,0.31,-0.8,-5
UFC Fight Night 46 - McGregor vs. Brandao,Ilir Latifi,Chris Dempsey,Favorite,-2.27,0,1,-0.21,0.13,0.11,-0.09,-0.54,0.11,0.84,0.3,5
UFC Fight Night 46 - McGregor vs. Brandao,Neil Seery,Phil Harris,Favorite,-0.8,0,-1,1.22,0.14,0.62,-0.11,-0.98,0.06,-0.07,1.6,4
UFC Fight Night 46 - McGregor vs. Brandao,Cathal Pendred,Mike King,Favorite,-0.53,-2,0,-1.96,-0.14,1.71,-0.17,0.71,-0.02,0.42,-3.1,-4
UFC Fight Night 46 - McGregor vs. Brandao,Tor Troeng,Trevor Smith,Underdog,-0.8,-1,3,-2.13,-0.1,-0.06,-0.19,-1.08,-0.25,0.06,-0.4,-2
UFC Fight Night 46 - McGregor vs. Brandao,Nikita Krylov,Cody Donovan,Favorite,-0.33,0,3,-1.24,-0.04,-2.97,-0.02,0.62,0.09,0.53,-0.31,-11
UFC Fight Night 46 - McGregor vs. Brandao,Josh Sampo,Patrick Holohan,Underdog,-1.81,-7,-10,0.16,-0.05,0,0.12,-1.95,0,-0.03,1.8,-1
UFC on Fox 12 - Lawler vs. Brown,Robbie Lawler,Matt Brown,Favorite,-3.65,-1,-1,0.09,-0.09,1.75,0.03,-1.03,0.18,0.02,-1.3,-1
UFC on Fox 12 - Lawler vs. Brown,Anthony Johnson,Rogerio Nogueira,Favorite,-5.23,0,3,0.81,0.12,-0.51,0.01,1.79,0.12,0.15,-0.21,-7
UFC on Fox 12 - Lawler vs. Brown,Dennis Bermudez,Clay Guida,Favorite,-1.23,-1,-4,1.77,0.13,0.06,-0.03,0.76,0.04,0.14,0.5,-5
UFC on Fox 12 - Lawler vs. Brown,Josh Thomson,Bobby Green,Underdog,-3.14,0,0,-3.87,-0.06,-1.63,0.02,0.73,0.01,-0.2,1,8
UFC on Fox 12 - Lawler vs. Brown,Jorge Masvidal,Daron Cruickshank,Favorite,-1.68,3,2,1.17,0.08,0.06,0.07,-0.67,0.18,0.12,0.09,1
UFC on Fox 12 - Lawler vs. Brown,Patrick Cummins,Kyle Kingsbury,Favorite,-1.55,-2,-3,1.28,0.09,-0.46,0.04,1.85,0,-0.24,0.1,1
UFC on Fox 12 - Lawler vs. Brown,Tim Means,Hernani Perpetuo,Favorite,-1.44,2,1,2.35,0.2,-0.73,0.04,1.15,0.4,0.28,-0.3,1
UFC on Fox 12 - Lawler vs. Brown,Brian Ortega,Mike de la Torre,Favorite,-1.22,-3,-2,0.86,-0.02,1.79,-0.03,0.81,0.11,-0.26,1.2,-4
UFC on Fox 12 - Lawler vs. Brown,Tiago Trator,Akbarh Arreola,Favorite,-2.35,-1,-1,1.37,-0.11,0.22,0.02,-0.45,-0.89,0,-0.11,-4
UFC on Fox 12 - Lawler vs. Brown,Gilbert Burns,Andreas Stahl,Favorite,-0.78,-1,-2,0.46,0.1,-1.33,-0.03,0.69,-0.29,-0.31,0.5,1
UFC on Fox 12 - Lawler vs. Brown,Joanna Jedrzejczyk,Juliana Lima,Favorite,-2.53,1,0,4.34,0.03,1.14,0.06,-1.45,0.31,0.1,0.1,-6
UFC on Fox 12 - Lawler vs. Brown,Steven Siler,Noad Lahat,Underdog,-1.59,2,1,0.41,-0.06,1.49,-0.09,-1.9,-0.06,0.39,-0.8,-2
UFC Fight Night 48 - Bisping vs. Le,Michael Bisping,Cung Le,Favorite,-2.12,4,5,-0.04,-0.1,-0.27,-0.02,-0.33,-0.28,-0.25,0,-6
UFC Fight Night 48 - Bisping vs. Le,Tyron Woodley,Dong Hyun Kim,Favorite,-1.35,-5,-2,0.23,-0.02,0.86,-0.04,-1.87,-0.03,0.16,-0.2,0
UFC Fight Night 48 - Bisping vs. Le,Brendan O'Reilly,Zhang Lipeng,Underdog,-0.61,-4,-2,0.61,-0.02,0.89,-0.15,0.47,0.13,-0.33,-0.21,2
UFC Fight Night 48 - Bisping vs. Le,Yang Jianping,Ning Guangyou,Underdog,-1.57,3,1,-1.27,-0.15,0.15,0.04,-0.1,-0.25,-0.29,-0.3,-7
UFC Fight Night 48 - Bisping vs. Le,Danny Mitchell,Wang Sai,Underdog,-1.31,2,4,-0.65,0.02,0.25,-0.02,0,0,0.23,3,-1
UFC Fight Night 48 - Bisping vs. Le,Alberto Mina,Shinsho Anzai,Favorite,-1.86,5,7,0,-0.2,-0.05,0.01,0.02,0.04,-0.25,0,4
UFC Fight Night 48 - Bisping vs. Le,Yuta Sasaki,Roland Delorme,Favorite,-0.64,1,0,-0.12,-0.04,-1.83,0.09,0.52,0.08,-0.02,-0.41,-6
UFC Fight Night 48 - Bisping vs. Le,Colby Covington,Wang Anying,Favorite,-3.96,-1,-2,2.55,0.12,1.35,0.11,3.79,0.44,0.34,0.2,3
UFC Fight Night 48 - Bisping vs. Le,Royston Wee,Zhuikui Yao,Favorite,-1.95,2,3,-0.34,0.39,-0.37,0.01,2.72,0.65,-0.58,0,4
UFC Fight Night 48 - Bisping vs. Le,Milana Dudieva,Elizabeth Phillips,Favorite,-0.62,-3,7,-1.73,-0.03,0.36,0,1.59,0.2,-0.53,-0.2,-3
UFC 177 - Dillashaw vs. Soto,T.J. Dillashaw,Joe Soto,Favorite,-8.9,0,2,1.73,0,-1.9,-0.06,0.71,0.09,0.07,-1.1,1
UFC 177 - Dillashaw vs. Soto,Tony Ferguson,Danny Castillo,Favorite,-2.03,2,5,2.37,0.03,2.45,-0.07,-2.56,-0.04,0.04,0.7,-4
UFC 177 - Dillashaw vs. Soto,Bethe Correia,Shayna Baszler,Favorite,-0.7,-2,-4,1.88,0.13,-1.44,0.05,-0.29,0,0.41,-1.3,-3
UFC 177 - Dillashaw vs. Soto,Carlos Diego Ferreira,Ramsey Nijem,Favorite,-1.14,-2,-1,1.99,-0.05,1.81,-0.06,-4.37,-0.32,0.04,-0.51,3
