,Unnamed: 0,name,height,weight,reach,STANCE,SLPM,Str Acc,SApm,Str. Def,TD Avg,TD Acc,TD Def,Sub Avg,age
109,109,Takenori Sato,70.0,170,71.0, Southpaw,0.46,0.33,12.92,0.09,0.0,0.0,0.0,0.0,38.0
110,110,Johnny Walker,78.0,205,82.0, Orthodox,3.81,0.53,2.83,0.44,0.46,1.0,0.57,0.9,32.0
111,111,Dan Christison,80.0,265,77.0, Orthodox,4.23,0.51,3.88,0.54,0.0,0.0,0.37,1.1,52.0
112,112,Andre Ewell,68.0,145,75.0, Southpaw,4.28,0.4,4.87,0.51,0.36,0.75,0.72,0.1,36.0
113,113,Takeshi Inoue,68.0,145,68.0,,2.54,0.44,3.32,0.61,0.0,0.0,0.47,0.0,44.0
114,114,Michael Aswell Jr.,68.0,145,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
115,115,Brendan O'Reilly,67.0,170,69.0, Orthodox,1.9,0.47,2.77,0.39,2.22,0.43,0.36,0.6,36.0
116,116,Marcelo Rojo,68.0,145,71.0, Orthodox,4.92,0.39,6.42,0.55,0.46,0.5,0.66,0.0,35.0
117,117,Amir Albazi,65.0,125,68.0, Orthodox,2.8,0.39,3.07,0.63,1.71,0.33,0.4,0.7,30.0
118,118,Luis Henrique,74.0,243,74.0, Orthodox,1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0,30.0
119,119,Molly McCann,64.0,115,62.0, Orthodox,5.79,0.49,4.94,0.63,1.82,0.38,0.43,0.6,34.0
120,120,Filip Pejic,68.0,135,72.0, Orthodox,0.0,0.0,0.88,0.33,0.0,0.0,0.0,0.0,31.0
121,121,Sokun Koh,73.0,205,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
122,122,John Dowdy,74.0, --,74.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
123,123,Joe Duarte,69.0,155,68.0,,2.27,0.38,4.0,0.53,3.0,0.5,0.69,1.0,47.0
124,124,Nick Garcia,64.0,125,64.0,,0.67,0.25,3.03,0.5,0.0,0.0,0.83,5.1,
125,125,Gabriel Salinas-Jones,73.0,245,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
126,126,Sarah Moras,67.0,135,67.0, Orthodox,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8,36.0
127,127,Greg McIntyre,70.0,155,70.0, Orthodox,0.79,0.3,1.36,0.41,5.09,0.5,0.0,0.0,44.0
128,128,Julio Paulino,72.0,170,71.0, Orthodox,0.97,0.27,1.87,0.48,0.0,0.0,0.37,0.5,48.0
129,129,Chase Sherman,76.0,250,78.0, Orthodox,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0,34.0
130,130,Ryan Healy,73.0,155,72.0, Orthodox,1.67,0.35,3.0,0.38,3.0,0.5,0.4,1.0,40.0
131,131,Randa Markos,64.0,115,63.0, Orthodox,2.97,0.43,3.1,0.58,1.12,0.28,0.52,0.2,38.0
132,132,Mike Breeden,70.0,155,70.0, Orthodox,5.75,0.45,7.28,0.42,0.98,0.3,0.67,0.0,35.0
133,133,Dwight Grant,73.0,185,76.0, Switch,3.29,0.36,2.66,0.6,0.61,1.0,0.66,0.0,39.0
134,134,Billy Evangelista,68.0,155,68.0, Orthodox,4.51,0.4,3.96,0.61,1.6,0.19,0.61,0.2,43.0
135,135,Katsuhisa Fujii,72.0,205,72.0, Orthodox,4.0,0.5,4.43,0.64,2.14,0.25,0.5,2.1,51.0
136,136,Danny Henry,72.0,145,73.0, Orthodox,5.2,0.51,4.16,0.45,0.74,0.33,0.5,2.2,35.0
