Event Title,Underdog,Favorite,Winner,height_delta,reach_delta,SLPM_delta,Str Acc_delta,SApm_delta,Str. Def_delta,TD Avg_delta,TD Acc_delta,TD Def_delta,Sub Avg_delta,age_delta,Odds_Delta
UFC Fight Night 182,Ji Yeon Kim,Alexa Grasso,Favorite,-2,-6,-0.7,0.07,-1.46,0.02,0.41,0.45,0.09,0.5,-4,-1.99
UFC Fight Night 182,Bill Algeo,Ricardo Lamas,Favorite,4,2,3.03,0.05,1.65,-0.1,-0.98,0.13,0.1,-0.8,-8,1.99
UFC Fight Night 182,Maki Pitolo,Impa Kasanganay,Favorite,1,0,0.86,0.04,-0.27,0.03,-0.49,0.06,0.16,-0.6,-3,-0.63
UFC Fight Night 182,Zak Cummings,Alessio Di Chirico,Underdog,0,1,-0.36,-0.04,-0.53,-0.06,-0.84,-0.11,-0.17,0.6,5,0.41
UFC Fight Night 182,Austin Springer,Alex Caceres,Favorite,-2,-2,-0.67,0.08,0.06,-0.21,2.83,-0.28,0.36,0.1,2,1.26
UFC Fight Night 182,Christian Aguilera,Sean Brady,Favorite,1,0,1.23,0.16,-0.49,0.13,3.29,0.57,0.27,1.2,-1,-3.49
UFC Fight Night 182,Polyana Viana,Emily Whitmire,Underdog,0,4,0.49,0.09,-0.33,-0.01,-1.08,-0.33,-0.32,1.4,-2,0.46
UFC Fight Night 182,Hannah Cifers,Mallory Martin,Favorite,3,1,-0.57,0.04,1.25,0.03,2.02,-0.57,-0.39,0,-1,-2.31
UFC Fight Night 183,Augusto Sakai,Alistair Overeem,Favorite,1,3,-0.93,0.15,-1.39,0.09,1.19,0.15,0.17,0.8,11,-0.86
UFC Fight Night 183,Ovince St Preux,Alonzo Menifield,Underdog,-3,-4,0.89,0.1,0.25,0.02,-0.43,-0.03,0.08,-0.2,-5,0.69
UFC Fight Night 183,Zelim Imadaev,Michel Pereira,Favorite,1,-3,2.25,0.18,-0.65,0.15,1.15,0.05,0.34,0.8,1,-0.64
UFC Fight Night 183,Andre Muniz,Bartosz Fabinski,Underdog,-1,-3,0.26,0.18,-0.53,-0.03,2.87,0.2,0.45,-1.2,4,-0.63
UFC Fight Night 183,Ray Rodriguez,Brian Kelleher,Favorite,-1,-4,2.49,0.14,0.75,0.14,0.32,-0.09,0.16,0.7,1,-2.97
UFC Fight Night 183,Montana De La Rosa,Viviane Araujo,Favorite,3,0,-1.41,-0.11,-1.75,-0.12,-0.05,-0.09,-0.14,0.2,-8,1.21
UFC Fight Night 183,Cole Smith,Hunter Azure,Favorite,3,-2,-2.14,-0.18,-0.12,-0.09,-0.3,-0.01,-0.22,0.4,3,1.95
UFC FN - Covington vs Woodley,Tyron Woodley,Colby Covington,Favorite,2,-2,1.52,-0.1,0.22,0.01,2.73,0.04,-0.2,-0.2,-6,-2.55
UFC FN - Covington vs Woodley,Gerald Meerschaert,Khamzat Chimaev,Favorite,1,-2,2.54,0.13,0.09,-0.11,1.82,0.08,0.66,1.1,-6,-3.3
UFC FN - Covington vs Woodley,Ryan Spann,Johnny Walker,Favorite,1,3,0.56,0.13,-1.06,0,-0.88,0.65,0.1,-0.6,0,-0.32
UFC FN - Covington vs Woodley,Randa Markos,Mackenzie Dern,Favorite,0,0,0.34,-0.03,0.99,-0.07,-0.33,-0.13,-0.24,1.1,-7,-0.82
UFC FN - Covington vs Woodley,Darren Stewart,Kevin Holland,Favorite,3,7,1.19,0.04,-0.1,0.02,-0.9,-0.07,-0.13,0.5,-2,-2.02
UFC FN - Covington vs Woodley,Jordan Espinosa,David Dvorak,Favorite,1,1,0.74,0.09,-0.35,-0.02,0.17,-0.02,0,0,3,0.02
UFC FN - Covington vs Woodley,Damon Jackson,Mirsad Bektic,Underdog,-3,-1,-0.57,0,-1.49,0.06,1.47,0.17,0.52,-1,-2,-2.75
UFC FN - Covington vs Woodley,Mara Romero Borella,Mayra Bueno Silva,Favorite,0,-3,1.3,0.2,2.38,-0.18,-1.15,-0.06,0.02,1.4,-5,-2.02
UFC FN - Covington vs Woodley,Sarah Alpar,Jessica-Rose Clark,Favorite,1,1,1.37,0.07,-2.55,0.2,0.05,0.16,0.42,-0.1,4,-1.38
UFC FN - Covington vs Woodley,Randy Costa,Journey Newson,Underdog,-4,-6,-3.89,-0.14,-5.01,0.06,0.56,0.16,-0.07,0.3,6,-0.36
UFC FN - Covington vs Woodley,Irwin Rivera,Andre Ewell,Favorite,2,8,0.92,-0.04,-0.2,-0.06,-0.64,0.59,0.02,0.1,1,-1.57
UFC FN - Covington vs Woodley,Jerome Rivera,Tyson Nam,Favorite,-3,-4,0.66,0,2.37,0.14,0,0,0.47,0,11,-1.13
UFC 253,Paulo Costa,Israel Adesanya,Favorite,3,8,-2.27,-0.1,-3.27,0.09,-0.4,-0.61,-0.03,0.1,1,-1.06
UFC 253,Jan Blachowicz,Dominick Reyes,Underdog,2,-1,1.34,0,0.86,-0.05,-0.73,-0.22,0.12,0.1,-7,-1.88
UFC 253,Brandon Royval,Kai Kara-France,Underdog,-5,1,0.24,0.03,-0.18,0.19,0.16,-0.27,0.48,-1.1,0,-1.42
UFC 253,Sijara Eubanks,Ketlen Vieira,Favorite,4,1,-1.26,-0.02,0.49,-0.06,-0.39,0,0.26,0.3,-7,-1.27
UFC 253,Hakeem Dawodu,Zubaira Tukhugov,Underdog,0,5,2.28,0.11,0.3,-0.07,-2.13,-0.39,-0.35,0,-1,0.45
UFC 253,Alex da Silva,Brad Riddell,Favorite,-1,-2,2.57,0.07,1.01,-0.03,-0.2,-0.07,-0.13,-0.3,4,-2.26
UFC 253,Diego Sanchez,Jake Matthews,Favorite,-1,-1,-0.61,-0.08,0.46,-0.04,-0.08,-0.16,-0.16,0.2,13,5.59
UFC 253,Shane Young,Ludovit Klein,Favorite,-1,0,-1.23,0.15,-1.72,0.01,1.14,0.29,0.19,0,-1,-0.27
UFC 253,William Knight,Aleksa Camur,Underdog,-3,-1,-2.11,-0.01,-0.96,-0.19,1.32,0.18,-0.02,0.4,8,0.82
UFC 253,Jeff Hughes,Juan Espino,Favorite,1,3,-1.57,0.19,-1.72,-0.2,8.22,0.28,0.05,2.4,7,-2.31
UFC 253,Danilo Marques,Khadis Ibragimov,Underdog,-3,1,2.11,-0.3,1.74,-0.05,-2.96,0.02,0.8,-0.5,-9,-1.04
UFC FN - Holm vs Aldana,Irene Aldana,Holly Holm,Favorite,-1,1,-2.11,0,-3.41,-0.02,0.71,-0.2,0,-0.1,6,-0.23
UFC FN - Holm vs Aldana,Carlos Felipe,Yorgan De Castro,Underdog,0,-1,-2.42,-0.02,-1.75,0.03,0,0,0.05,0,8,-1.6
UFC FN - Holm vs Aldana,Julianna Pena,Germaine de Randamie,Favorite,3,2,-0.59,-0.01,-0.3,0.15,-1.94,-0.55,0.42,-0.4,6,-0.66
UFC FN - Holm vs Aldana,Cameron Else,Kyler Phillips,Favorite,1,-1,-3.73,-0.05,4.71,-0.1,-2.41,-0.46,-0.75,-0.5,9,3.88
UFC FN - Holm vs Aldana,Dequan Townsend,Dusko Todorovic,Favorite,2,5,-4.31,-0.23,-0.63,-0.08,-0.96,-0.12,0.01,0,8,2.8
UFC FN - Holm vs Aldana,Carlos Condit,Court McGee,Underdog,3,0,-0.94,0.02,-0.95,-0.06,-1.25,0.21,-0.31,0.6,1,0.27
UFC FN - Holm vs Aldana,Nassourdine Imavov,Jordan Williams,Underdog,-2,0,1.3,-0.04,2.2,-0.26,0.24,0.19,0.09,-1.5,4,-0.35
UFC FN - Holm vs Aldana,Jinh Yu Frey,Loma Lookboonmee,Favorite,2,4,-1.13,-0.14,1.75,-0.01,-0.88,-0.14,0.18,0.2,11,0.73
UFC FN - Holm vs Aldana,Heili Alateng,Casey Kenney,Favorite,2,2,2.21,0.1,0,0.01,-0.9,-0.1,-0.14,0.4,1,-2.68
UFC FN - Holm vs Aldana,Luigi Vendramini,Jessin Ayari,Underdog,4,0,0.71,-0.03,-0.23,0.01,-1.11,-0.15,-0.5,-0.3,3,-0.12
UFC FN - Ortega vs Zombie,Brian Ortega,Chan Sung Jung,Underdog,-1,3,-0.14,0.03,-2.02,0.03,-0.47,0.17,0.15,-0.6,4,-1.21
UFC FN - Ortega vs Zombie,Katlyn Chookagian,Jessica Andrade,Favorite,-8,-6,2.04,0.16,0.89,-0.07,2.06,0.4,0.22,0,-3,0.79
UFC FN - Ortega vs Zombie,Modestas Bukauskas,Jim Crute,Favorite,-1,-4,0.4,0.13,-0.83,-0.06,4.84,0.57,-0.11,2,-2,2.24
UFC FN - Ortega vs Zombie,Claudio Silva,James Krause,Favorite,-3,-2,-2.31,-0.07,-1.11,-0.15,1.89,0.08,-0.15,0.2,4,0.61
UFC FN - Ortega vs Zombie,Jonathan Martinez,Thomas Almeida,Underdog,-1,0,0.3,-0.06,1.06,0.04,-0.24,-0.21,0.07,-0.1,2,-0.42
UFC FN - Ortega vs Zombie,Guram Kutateladze,Mateusz Gamrot,Underdog,-1,-2,-1.53,0.06,-1.46,0.03,4.59,0.17,0.15,0.1,1,-2.26
UFC FN - Ortega vs Zombie,Poliana Botelho,Gillian Robertson,Favorite,-3,-4,-0.29,-0.12,0.32,0.02,1.68,-0.14,-0.33,1,-6,-1.35
UFC FN - Ortega vs Zombie,John Phillips,Jun Yong Park,Favorite,-1,-2,2.81,0.16,-0.73,0.04,1.83,0.5,0.5,1.1,-5,-2.02
UFC FN - Ortega vs Zombie,Fares Ziam,Jamie Mullarkey,Underdog,-1,-1,1.69,-0.02,2.81,-0.12,1.5,0.11,0.11,-0.1,2,-0.44
UFC FN - Ortega vs Zombie,Gadzhimurad Antigulov,Maxim Grishin,Favorite,-4,-8,-1.18,0.03,1.94,-0.18,4.87,0.2,-0.66,1.4,-3,2.8
UFC FN - Ortega vs Zombie,Mark Striegl,Said Nurmagomedov,Favorite,0,0,-2.15,-0.02,1.94,-0.17,-1.01,-0.16,0,-1.4,3,3.08
UFC 254,Justin Gaethje,Khabib Nurmagomedov,Favorite,-1,0,-2.68,-0.11,-5.71,0.13,5.21,0.23,0.09,0.8,0,-2.45
UFC 254,Robert Whittaker,Jared Cannonier,Underdog,1,-4,-0.11,-0.1,-0.68,0,0.37,-0.04,0.19,0,-7,0.05
UFC 254,Walt Harris,Alexander Volkov,Favorite,2,3,2.05,0.18,-0.33,0,0.2,0.35,0.03,0.1,-5,-1.01
UFC 254,Jacob Malkoun,Phil Hawes,Favorite,3,4,1.47,0.03,1.24,0.03,-4.51,-0.08,0.7,-0.2,7,-1.63
UFC 254,Liliya Shakirova,Lauren Murphy,Favorite,-1,-2,-1.35,-0.09,-2.67,0.19,-1.03,-0.25,-0.69,-0.1,-8,1.28
UFC 254,Ion Cutelaba,Magomed Ankalaev,Favorite,2,0,-0.8,0.1,-1.18,0.12,-3.15,-0.26,0.1,0,1,-2.42
UFC 254,Stefan Struve,Tai Tuivasa,Favorite,9,9,-0.84,-0.02,-1.01,0.03,0.56,0.46,-0.02,1.7,5,0.1
UFC 254,Nathaniel Wood,Casey Kenney,Favorite,1,-1,-1.06,-0.08,0.45,0.02,-0.65,-0.13,-0.09,-0.1,2,-0.94
UFC 254,Alex Oliveira,Shavkat Rakhmonov,Favorite,-2,-1,-1.13,-0.1,0.14,-0.05,0.86,0.09,-0.37,-1.2,7,0.15
UFC 254,Liana Jojua,Miranda Maverick,Favorite,1,-3,-1.38,-0.17,2.72,-0.05,-0.78,0.2,0.1,0.9,3,3.22
UFC 254,Alexander Yakovlev,Joel Alvarez,Favorite,0,-3,-1.91,0.01,-0.96,0.08,1.66,0.35,0.61,-1.2,8,0.88
UFC Vegas 12,Anderson Silva,Urijah Hall,Favorite,-2,2,0.18,-0.13,1.8,-0.06,0.04,-0.39,-0.05,-0.7,-10,1.48
UFC Vegas 12,Andre Fili,Bryce Mitchell,Favorite,-1,-4,-1.55,0.21,-2.48,0.07,1.29,-0.06,-0.36,1.3,-4,-0.34
UFC Vegas 12,Maurice Greene,Greg Hardy,Favorite,-2,0,1.51,0.05,-0.3,0.1,0.2,0.33,0.37,-0.4,-2,-2.33
UFC Vegas 12,Charlie Ontiveros,Kevin Holland,Favorite,1,7,2.35,0.08,-2.67,0.19,0.85,0.38,0.24,0.6,-1,-5.35
UFC Vegas 12,Thiago Moises,Bobby Green,Underdog,1,1,3.98,0.12,-0.44,0.07,-0.45,-0.06,0.18,-1,8,-2.3
UFC Vegas 12,Chris Gruetzemacher,Alexander Hernandez,Favorite,-1,-4,1.85,0.16,0.3,-0.03,-0.85,0.19,0.06,-0.1,6,3.4
UFC Vegas 12,Victor Rodriguez,Adrian Yanez,Favorite,2,3,4.92,0.04,-0.36,0.07,0,0,1,0,-1,-3.8
UFC Vegas 12,Jack Marshman,Sean Strickland,Favorite,1,3,3.17,0.16,0.14,0.06,0.85,0.64,0.57,0.2,-1,-2.91
UFC Vegas 12,Cole Williams,Jason Witt,Favorite,-2,-3,1.84,0.17,-2.8,0.29,6.9,0.48,0.75,0.9,-3,-0.66
UFC Vegas 12,Justin Ledet,Dustin Jacoby,Favorite,-1,-4,2.18,0.08,-0.75,0.08,0.13,-0.25,0.18,-0.2,1,-2.9
UFC Vegas 12,Kevin Natividad,Miles Johns,Favorite,1,-4,0.6,0.13,-1.74,0.21,-2.51,-0.28,0.02,0,-1,-0.71
UFC Vegas 13,Glover Teixeira,Thiago Santos,Underdog,0,0,-0.01,-0.01,-1.86,0.02,-1.23,0,0.05,-0.8,-4,-1.63
UFC Vegas 13,Andrei Arlovski,Tanner Boser,Underdog,-1,-2,0.92,0.07,-0.45,0.01,-0.38,-0.36,-0.13,-0.2,-13,-2.42
UFC Vegas 13,Khalid Taha,Raoni Barcelos,Favorite,2,-2,2.58,0.19,0.67,0.15,1.86,0.32,0.24,0.4,5,-2.91
UFC Vegas 13,Jamey Simmons,Giga Chikadze,Favorite,6,4,3.29,0.22,1.52,-0.12,0.23,0.33,0.19,0.2,4,-5.84
UFC Vegas 13,Claudia Gadelha,Yan Xiaonan,Favorite,-1,0,-1.66,-0.03,0.91,-0.01,2.03,-0.31,-0.04,0.7,1,0.8
UFC Vegas 13,Trevin Giles,Bevon Lewis,Underdog,-3,-5,-0.46,0.12,-0.45,0.04,1.19,0.5,0.05,0.3,-2,0.15
UFC Vegas 13,Marcos Rogerio de Lima,Alexander Romanov,Favorite,1,0,0.36,-0.05,-0.7,-0.01,2.92,0.09,-0.39,0.4,-5,3.55
UFC Vegas 13,Luiz Garagorri,Darren Elkins,Favorite,1,1,0.02,-0.13,0.91,-0.06,2.37,-0.65,-0.05,1.1,6,-1.72
UFC Vegas 13,Ramiz Brahimaj,Max Griffin,Favorite,1,4,2.18,0.08,0.12,0.12,-0.16,0.06,0.24,-1.3,7,-0.43
UFC Vegas 13,Anthony Birchak,Gustavo Lopez,Favorite,-3,-2,-1.45,0.04,0.2,0.01,1.26,0.27,-0.3,0.2,-4,-0.21
UFC Vegas 14,Paul Felder,Rafael dos Anjos,Favorite,-3,0,-0.22,0.03,-0.23,0.12,1.66,0.07,-0.09,0.4,-1,-1.14
UFC Vegas 14,Kalinn Williams,Abdul Razak Alhassan,Underdog,-2,-4,-2.44,0.09,-1.43,0.13,0.89,0.38,-0.3,0.2,8,-1.41
UFC Vegas 14,Ashley Yoder,Miranda Granger,Underdog,0,1,0.63,-0.08,1.56,-0.1,1.09,0.27,0.33,0.6,4,0.73
UFC Vegas 14,Sean Strickland,Brendan Allen,Underdog,-1,1,1.93,-0.12,0.5,0.15,-0.89,0.17,0.19,-1.2,5,0.05
UFC Vegas 14,Cory McKenna,Kay Hansen,Underdog,-1,5,0.01,0.1,0,0.03,-0.39,-0.36,-0.34,0.4,0,-1.26
UFC Vegas 14,Randa Markos,Kanako Murata,Favorite,3,1,0.82,-0.13,0.7,0.05,-2.26,-0.28,-0.48,-0.6,8,1.13
UFC Vegas 14,Geraldo De Freitas Jr.,Tony Gravely,Favorite,-2,-3,0.15,-0.04,1.85,-0.06,2.4,-0.04,-0.07,0.3,0,-0.61
UFC Vegas 14,Rhys McKee,Alex Morono,Favorite,-3,-6,0.07,-0.05,-3.69,0.16,0.32,0.22,0.14,0.4,5,-1.01
UFC Vegas 14,Roque Martinez,Don'tale Mayes,Favorite,8,9,0.41,-0.1,-0.94,-0.09,0.33,-0.07,0.07,-0.4,-6,-1.66
UFC 255,Alex Perez,Deiveson Figueiredo,Favorite,-1,3,-1.09,0.1,0.25,-0.09,-0.41,-0.02,-0.24,0.8,4,-2.6
UFC 255,Jennifer Maia,Valentina Shevchenko,Favorite,1,2,-1.07,0.14,-2.41,0.07,2.14,0.36,0.13,0.3,1,-9.88
UFC 255,Tim Means,Mike Perry,Underdog,4,4,0.76,0.02,-1.52,0.08,0.35,0,-0.13,0,8,0.64
UFC 255,Katlyn Chookagian,Cynthia Calvillo,Underdog,-5,-4,-0.17,0.04,-0.36,0.02,1.49,0.29,0.27,0.5,1,1.86
UFC 255,Mauricio Rua,Paul Craig,Favorite,-2,0,1.12,0.04,-0.18,0.1,0.33,0.28,0.12,-0.9,6,0.88
UFC 255,Brandon Royval,Brandon Moreno,Favorite,2,-2,0.46,-0.08,-0.21,-0.13,-1.27,0.14,-0.23,0.6,1,1.15
UFC 255,Jordan Wright,Joaquin Buckley,Favorite,-4,-1,0.15,-0.2,-2.91,0.27,-0.4,-0.01,-0.31,-0.4,-2,-1.86
UFC 255,Ariane Lipski,Antonina Shevchenko,Favorite,2,0,-0.24,0.14,-1.03,-0.01,-0.13,-0.13,-0.18,0.1,9,-0.78
UFC 255,Nicolas Dalby,Daniel Rodriguez,Underdog,-2,0,-3.27,-0.07,-1.85,-0.04,0.49,-0.2,-0.03,0,2,2.3
UFC 255,Jared Gooden,Alan Jouban,Favorite,0,-4,0.59,0.01,-2.91,0.12,-0.16,-0.56,-0.07,0.1,12,-0.51
UFC 255,Dustin Stoltzfus,Kyle Daukaus,Favorite,3,1,-0.27,0.08,-0.35,-0.06,-0.28,-0.15,0.36,1.2,-1,-2.16
UFC 255,Sasha Palatnikov,Louis Cosce,Underdog,-4,-1,-2.38,-0.08,-0.09,-0.05,0.32,-0.8,-0.2,0.5,-7,-3.04
UFC Vegas 15,Devin Clark,Anthony Smith,Favorite,4,1,0.2,-0.06,1.23,0.02,-1.68,-0.06,-0.09,0.6,1,-0.51
UFC Vegas 15,Takashi Sato,Miguel Baeza,Favorite,4,1,2.67,0.08,1.37,0.09,-0.32,-0.09,0.4,1.8,-2,-1.17
UFC Vegas 15,Parker Porter,Josh Parisian,Underdog,-4,-4,2,0.02,1.44,0.1,0.37,-0.07,0.2,0.3,5,1.37
UFC Vegas 15,Bill Algeo,Spike Carlyle,Underdog,4,2,3.61,-0.02,0.67,0.17,-2.48,0.1,-0.01,-0.4,3,1.09
UFC Vegas 15,Norma Dumont,Ashlee Evans-Smith,Underdog,-1,0,-0.92,0.15,-2.7,0.13,0.96,0.46,0.22,0,-3,0.56
UFC Vegas 15,Jonathan Pearce,Kai Kamaka,Underdog,-5,-2,-0.36,0.03,1.86,0.01,-3.31,0.08,-0.06,-0.5,-3,-2.3
UFC Vegas 15,Anderson dos Santos,Martin Day,Underdog,5,3,1.27,0.2,-1.58,0.04,-0.26,0.46,-0.01,-0.2,-3,-0.8
UFC Vegas 15,Rachael Ostovich,Gina Mazany,Favorite,-3,-6,-1.19,-0.07,0.45,0.07,-2.31,0.31,0.33,0.6,-2,1.14
UFC Vegas 15,Malcolm Gordon,Su Mudaerji,Favorite,1,1,2.14,0.09,0.73,0.18,-1.43,0.65,0.4,-0.4,-6,-2.52
UFC Vegas 15,Nathan Maness,Luke Sanders,Underdog,-4,-5,4.28,0.04,0.08,0.1,-0.16,-0.45,-0.06,-0.1,6,-0.73
UFC Vegas 16,Jack Hermansson,Marvin Vettori,Favorite,1,3,0.53,-0.01,-0.55,0,-0.13,-0.15,0.11,-0.1,5,0.41
UFC Vegas 16,Ovince St Preux,Jamahal Hill,Favorite,1,-1,4.15,0.07,0.19,-0.01,-1.1,-0.36,0.06,-0.5,-8,1.05
UFC Vegas 16,Justin Jaynes,Gabriel Benitez,Favorite,1,3,1.92,-0.03,-0.84,0.01,-0.53,0.1,0.35,-0.2,1,-1.54
UFC Vegas 16,John Allan,Roman Dolidze,Favorite,1,1,-0.94,-0.03,-2.38,-0.01,-0.1,-0.31,-0.17,0.5,4,-1.3
UFC Vegas 16,Matt Wiman,Jordan Leavitt,Favorite,1,-3,0.62,-0.11,1.73,-0.06,-0.06,0.12,0.26,0.4,12,3.4
UFC Vegas 16,Jose Quinonez,Louis Smolka,Favorite,1,-1,1.07,0.02,1.11,-0.11,-1.01,-0.12,-0.1,1.2,-1,-0.48
UFC Vegas 16,Damon Jackson,Ilia Topuria,Favorite,4,2,-1.4,-0.05,-0.06,-0.14,0.59,-0.21,-0.52,0.1,8,1.9
UFC Vegas 16,Jake Collier,Gian Villante,Underdog,0,-2,-1.42,0,0.39,0.05,-0.26,-0.1,0.16,-0.6,3,-1.21
UFC 256,Brandon Moreno,Deiveson Figueiredo,Underdog,-2,-2,-0.86,0.11,-0.25,-0.09,-0.09,-0.04,-0.05,1.2,6,-0.82
UFC 256,Brandon Moreno,Deiveson Figueiredo,Underdog,-2,-2,-0.86,0.11,-0.25,-0.09,-0.09,-0.04,-0.05,1.2,6,-0.82
UFC 256,Brandon Moreno,Deiveson Figueiredo,Underdog,1,2,1.55,-0.08,1.21,0.04,-1.78,-0.05,0.12,-1.9,6,-0.82
UFC 256,Brandon Moreno,Deiveson Figueiredo,Underdog,1,2,1.55,-0.08,1.21,0.04,-1.78,-0.05,0.12,-1.9,6,-0.82
UFC 256,Virna Jandiroba,Mackenzie Dern,Favorite,1,-1,1.01,0.02,1.13,-0.06,-1.57,-0.21,-0.45,0.1,-4,-0.93
UFC 256,Kevin Holland,Ronaldo Souza,Underdog,-2,-9,-1.71,-0.02,-0.36,0.12,1.72,0.01,0.03,0.7,13,-0.13
UFC 256,Junior dos Santos,Ciryl Gane,Favorite,0,4,1,0.13,-1.14,0.07,0.28,-0.29,-0.31,0.4,-6,3.25
UFC 256,Cub Swanson,Daniel Pineda,Underdog,1,1,1.61,0.01,0.66,0.13,-0.62,0.27,0.13,-1.3,2,0.8
UFC 256,Renato Moicano,Rafael Fiziev,Favorite,3,1,-0.52,-0.03,-1.29,0.11,1.6,0.05,-0.17,0.6,4,0.35
UFC 256,Gavin Tucker,Billy Quarantillo,Underdog,4,4,3.07,0.12,1.39,-0.14,-1.89,-0.21,0.08,-0.4,-2,-1.01
UFC 256,Sam Hughes,Tecia Torres,Favorite,-4,-4,0.75,0.02,-0.92,0.05,-0.35,-0.16,0.08,0.1,3,-4.98
UFC 256,Peter Barrett,Chase Hooper,Favorite,3,1,0.9,-0.09,-0.99,-0.06,0.06,0.02,-0.11,2.3,-13,-2.25
UFC Vegas 17,Stephen Thompson,Geoff Neal,Underdog,1,0,-0.86,-0.04,-2.44,-0.03,-0.2,-0.03,-0.22,-0.1,8,0.05
UFC Vegas 17,Marlon Vera,Jose Aldo,Favorite,-1,0,-0.68,-0.03,-1.75,0.1,-0.02,0.14,0.21,-0.8,6,-0.55
UFC Vegas 17,Kalinn Williams,Michel Pereira,Favorite,1,-4,-0.65,0.15,-1.72,0.16,1.53,0.55,0.14,0.8,0,-0.13
UFC Vegas 17,Rob Font,Marlon Moraes,Underdog,-2,-4,-2.16,-0.05,0.88,-0.02,-0.02,0.06,0,0,0,-0.65
UFC Vegas 17,Marcin Tybura,Greg Hardy,Underdog,2,2,1.19,0.02,-0.04,0,-1.23,0,-0.15,-0.1,-3,-0.11
UFC Vegas 17,Alex Morono,Anthony Pettis,Favorite,-1,0,-1.82,0.07,-0.72,-0.04,0.29,0.28,0.05,0.7,4,-1.42
UFC Vegas 17,Pannie Kianzad,Sijara Eubanks,Underdog,3,-1,0.44,0.06,0.24,-0.04,-1.44,-0.11,0,-0.2,-7,0.69
UFC Vegas 17,Deron Winn,Antonio Arroyo,Underdog,-9,-3,1.73,-0.22,4.19,-0.04,3.14,0.11,-0.01,-0.2,0,0.88
UFC Vegas 17,Taila Santos,Gillian Robertson,Underdog,-1,-5,-0.78,-0.02,0.48,-0.02,0.53,-0.33,-0.43,-0.1,-1,-0.09
UFC Vegas 17,Jamie Pickett,Tafon Nchukwi,Favorite,2,3,-2.92,-0.05,-0.49,-0.04,0.5,-0.17,0.03,0.1,6,2.43
UFC Vegas 17,Cody Durden,Jimmy Flick,Favorite,0,1,-1.46,-0.01,2.31,-0.11,-3.05,-0.24,-0.66,5.1,0,-0.66
UFC Vegas 17,Carlton Minus,Christos Giagos,Favorite,0,-4,-0.47,0.01,-1.76,0,2.84,0.36,-0.06,0.4,3,-2.53
UFC FN,Calvin Kattar,Max Holloway,Favorite,0,-3,2.41,0.09,-2.03,0.05,-0.14,0.24,0.12,0.2,-4,-0.83
UFC FN,Matt Brown,Carlos Condit,Favorite,2,0,-0.1,-0.16,-0.25,0,-1.09,0,-0.25,-0.3,-3,-1.04
UFC FN,Li Jingliang,Santiago Ponzinibbio,Underdog,0,2,0.44,-0.01,0.83,0.04,-0.77,-0.11,0,0,1,-2.57
UFC FN,Alessio Di Chirico,Joaquin Buckley,Underdog,-2,2,0.93,-0.03,-0.32,-0.03,0.23,0.05,-0.14,0,-4,-1.98
UFC FN,Punahele Soriano,Dusko Todorovic,Underdog,-2,-2,-1.58,-0.12,0,0.02,-0.17,0.28,-0.12,0,1,0.69
UFC FN,Yanan Wu,Joselyne Edwards,Favorite,0,4,0.48,0.11,-1.59,0.01,0.38,0.03,0.01,0.1,0,0.01
UFC FN,Justin Tafa,Carlos Felipe,Favorite,0,1,0.79,-0.09,0.58,0.03,0,0,0.22,0,-1,-1.21
UFC FN,David Zawada,Ramazan Emeev,Favorite,2,-1,1.31,-0.04,2.4,-0.1,-1.4,0.04,-0.09,1,-4,1.75
UFC FN,Vanessa Melo,Sarah Moras,Underdog,2,2,-1.2,0.04,-2.55,-0.09,0.67,0.21,-0.38,0.8,0,-1.74
UFC FN,Jacob Kilburn,Austin Lingo,Favorite,1,-2,1.3,0.04,-1.92,0.22,-0.08,0.61,0.55,-0.5,1,-1.36
UFC 257,Dustin Poirier,Conor McGregor,Underdog,0,2,-0.13,-0.02,0.3,0.01,-0.66,0.19,0.03,-1.3,0,-2.35
UFC 257,Michael Chandler,Daniel Hooker,Underdog,4,4,0.19,0.02,0.18,0.05,-1.38,-0.04,0.09,-0.5,-4,-0.3
UFC 257,Jessica Eye,Joanne Wood,Favorite,0,1,-3.24,-0.14,-0.7,0.04,-0.94,-0.15,-0.01,0.2,-1,0.14
UFC 257,Andrew Sanchez,Makhmud Muradov,Favorite,1,1,-0.09,0,-2.53,0.11,0.48,0.3,-0.23,0.2,-2,-0.94
UFC 257,Marina Alcalde Rodriguez,Amanda Ribas,Underdog,-3,1,-0.19,-0.07,0.28,0.06,1.84,0.09,0.2,0.5,-7,2.25
UFC 257,Matt Frevola,Arman Tsarukyan,Favorite,2,-1,-0.08,-0.06,1.73,0.06,-0.66,0.03,-0.33,0.9,6,5.13
UFC 257,Antonio Carlos Junior,Brad Tavares,Favorite,-1,-5,1.43,0.01,1.01,0.03,-2.64,-0.13,0.28,-0.8,2,-0.44
UFC 257,Julianna Pena,Sara McMann,Underdog,0,-3,-0.9,-0.01,-0.38,-0.03,2.44,0.1,0.27,-0.3,9,-0.3
UFC 257,Marcin Prachnio,Khalil Rountree,Underdog,-2,2,-1.77,-0.16,0.88,-0.04,-0.17,-0.2,0,0.1,-1,-2.42
UFC 257,Nik Lentz,Movsar Evloev,Favorite,-1,4,0.99,0.01,-0.36,0.11,1.45,0.14,0.28,-1,-9,-5.27
